name,institution,homepage,act,ai,arch,bed,bio,chi,comm,crypt,da,ecom,graph,hpc,ir,log,metrics,mlmining,mobile,mod,nlp,ops,plan,robotics,sec,soft,vision,visualization
Nicolas Wu,Imperial College London,https://www.imperial.ac.uk/people/n.wu,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0
Nicolò Colombo,Royal Holloway University of London,https://pure.royalholloway.ac.uk/portal/en/persons/nicolo-colombo(eb61acd9-0c8e-4e07-a96f-56e7bd687e58).html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Nicos Angelopoulos,University of Essex,https://www.essex.ac.uk/people/angel61804/nicos-angelopoulos,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Nigel Davies 0001,Lancaster University,https://www.lancaster.ac.uk/scc/about-us/people/nigel-davies,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Nigel H. Goddard,University of Edinburgh,http://homepages.inf.ed.ac.uk/ngoddard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Nigel P. Topham,University of Edinburgh,http://homepages.inf.ed.ac.uk/npt,0,0,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Nigel Shadbolt,University of Oxford,http://www.jesus.ox.ac.uk/people/professor-sir-nigel-shadbolt,0,2,0,0,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Nikolaos Aletras,University of Sheffield,https://www.sheffield.ac.uk/dcs/people/academic/nikos-aletras,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,0,0,0,0,0,0,0
Nikos Ntarmos,University of Glasgow,https://ntarmos.info,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Niloy J. Mitra,University College London,http://www0.cs.ucl.ac.uk/staff/n.mitra,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,4,0,0,0,0,0,0,0,0,18,1
Nir Oren,University of Aberdeen,https://www.abdn.ac.uk/people/n.oren,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nirav Ajmeri,University of Bristol,https://niravajmeri.github.io,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nishanth Sastry,University of Surrey,https://www.surrey.ac.uk/people/nishanth-sastry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Nobuko Yoshida,Imperial College London,https://www.doc.ic.ac.uk/~yoshida,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,21,0,0,1,0,0
Norman E. Fenton,Queen Mary University of London,https://www.eecs.qmul.ac.uk/~norman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Norman W. Paton,University of Manchester,http://www.cs.man.ac.uk/~norm,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
Noura Al Moubayed,Durham University,https://www.dur.ac.uk/computer.science/staff/profile/?id=14675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Novi Quadrianto,University of Sussex,http://www.sussex.ac.uk/informatics/people/peoplelists/person/335583,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,7,0
Oded Lachish,Birkbeck University of London,https://www.dcs.bbk.ac.uk/about/people/academic-staff/oded,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ognjen Arandjelovic,University of St Andrews,https://oa7.host.cs.st-andrews.ac.uk,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0
Oisin Mac Aodha,University of Edinburgh,https://homepages.inf.ed.ac.uk/omacaod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,19,0
Olaf Chitil,University of Kent,https://www.cs.kent.ac.uk/people/staff/oc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
Oliver Lemon,Heriot-Watt University,https://www.hw.ac.uk/staff/uk/macs/oliver-lemon.htm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,0,0
Omer F. Rana,Cardiff University,https://www.cardiff.ac.uk/people/view/118157-rana-omer,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oscar Mendez Maldonado,University of Surrey,http://oscarmendez.co.uk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0
Oussama Metatla,University of Bristol,http://www.bristol.ac.uk/engineering/people/oussama-metatla/index.html,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Padraig Corcoran,Cardiff University,https://www.cardiff.ac.uk/people/view/155896-corcoran-padraig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Pan Peng 0001,University of Sheffield,https://www.sheffield.ac.uk/dcs/people/academic/pan-peng,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0
Panagiotis Kanellopoulos,University of Essex,https://www.essex.ac.uk/people/kanel33803/panagiotis-kanellopoulos,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panos Giannopoulos,Middlesex University,http://www.eis.mdx.ac.uk/staffpages/panosgiannopoulos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Pantelis Sopasakis,Queen's University Belfast,https://www.qub.ac.uk/schools/eeecs/Connect/Staff/BusinessCard/?name=P.Sopasakis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Paolo Guagliardo,University of Edinburgh,https://homepages.inf.ed.ac.uk/pguaglia/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Paolo Rapisarda,University of Southampton,https://www.ecs.soton.ac.uk/people/pr3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Paolo Turrini,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/paolo_turrini,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parisa Eslambolchilar,Cardiff University,https://www.cardiff.ac.uk/people/view/634369-eslambolchilar-parisa,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
